index,disease_name,supplement name,supplement image,buy link
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRO2FK6IsSuUuQQ0ehzVKIsEdgjCGbMq2nBmOsUp38ajgm8dPwR9MvTBL9_PFRZVRkbtiAzdwP8lwGlrR1c7axKHE6VALk6l3X4Snu9HWFCKpVCFYly65Bs&usqp=CAE,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC_8hhC12Kbw0e0w-afXO9kzWJHG1LchaIa66xnIpU6OmZLnY3OzCrRd2ilBS9bSjI9jQI0hJ6Z20SUk7nf7uCukqv77aTun147K5g2Ec&usqp=CAE,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://5.imimg.com/data5/UY/GY/VM/SELLER-67745601/aliette-fungicide-500x500.jpg,https://farmagritech.com/product/aliette-fungicide/?attribute_pa_size=100gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=2578
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,"https://www.flipkart.com/sansar-green-grapes-fertilizer/p/itm90f06136b50c7?pid=SMNFNT8F7FCQJ4MH&lid=LSTSMNFNT8F7FCQJ4MHMXEELG&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_0d3lBg14nXBbhJeTP7z5mqzpyHXmv4c7cL9mW4MqCBlnskpoMB8C0aArWREALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ5shxq773t5Lmux-hhShKezjR64Af41W6NdhsDMXI-dNSAVvfY45rb5iHxMaqZXBdtFnfuiIcN8PdQ06YcYZi3gq6Uow-j&usqp=CAE,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://cdn.shopify.com/s/files/1/0047/9730/0847/products/nurserylive-fertilizer-jeevamrut-plant-growth-tonic-500-ml-for-garden_jpg_600x600.jpg?v=1607402323,https://nurserylive.com/products/jeevamrut-plant-growth-tonic-250-ml-for-garden?variant=34163328811148
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNEP3gEC77FdOUBy_xUgIbq7UU_N2TX1zRwCFvtl02Kz5-a6X2ZhXPAhf9y0kLieGR2VTVarUnZP_JMs0kFtEw-LqJwVSMHsjGP4Bz9scPPIB6NCLtcD7JNA&usqp=CAE,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Organic_Potash-1_869x869.jpg?v=1583399466,https://www.casagardenshop.com/products/organic-potash-fertilizer-for-gardening-improves-size-of-flowers-fruits-and-vegetables-by-casa-de-amor-1-kg-1?variant=40073291088&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://agribegri.com/products/buy-herbal-fungicide-online-india--buy-pesticides-online.php
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRyFZFHGj1Wi0fabSOYVadCnsg8UdvhpKOHI6gxmItDLmz7RdC67HFFNyU7PYyD6SnlgXOs31yW_8-YWJKOeal7K4UQ3lAIxef-4x350ac&usqp=CAE,https://agribegri.com/products/max-crop-1-litre.php
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://kiron.co.in/products/B0068WMLE2
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSV3dLQAuhGWWsZSX3Ray15J_uSeFgSo7oLE0G2BxPFSwVNnOUY7VsBbLzDbw_mzUw3ZFLaF4kPWPyzatefP2bnSZwEbwrYnGGYgEl8rS6XWmwRnloOWnwy&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://farmagritech.com/wp-content/uploads/2019/11/F-Nativo-3.jpg,https://farmagritech.com/product/nativo-fungicide/?attribute_pa_size=50gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=1326
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://farmagritech.com/wp-content/uploads/2020/05/roko-insecticide.jpg,https://farmagritech.com/product/roko-fungicide/?attribute_pa_size=500gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=3239
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxe-M4vyRx94TlpTOw6tlzvagjvaTRCWRLoKd58JML7T3rSV8GJK67YjxIiR-PHL02DL2CHsHPLzExBf6uq7BqxcLPxgmh9w&usqp=CAE,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://rukminim1.flixcart.com/image/416/416/k3xcdjk0/soil-manure/y/f/j/100-propineb-70-wp-fungicide-for-plants-diesese-control-propi-original-imafmxg3jghhdyt6.jpeg?q=70,"https://www.flipkart.com/propi-propineb-70-wp-fungicide-plants-diesese-control-pesticide/p/itm9db96656402f8?pid=SMNFMX8FJJHZAYFJ&lid=LSTSMNFMX8FJJHZAYFJDGFGXW&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_2bIC4skU03mHTgG2GvlhsFQstQaLrFyAaL10NTTCDsuI9BoffpPFUaAjn1EALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://krushikendra.com/image/cache/catalog/Sygenta/syngenta-amistar-top-fungicides-500x500-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Amistor-Top-Fungicide-100-ml-Online
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://cdn.shopify.com/s/files/1/1489/8850/products/Tomato_feretilizer-new_869x868.jpg?v=1582699319,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
39,Cabbage___Black_rot,Bayer Nativo 75WG Fungicide (Trifloxystrobin 25% + Tebuconazole 50%),https://m.media-amazon.com/images/I/61s8VAPDpkL._SL1000_.jpg,https://www.amazon.in/Bayer-Nativo-75WG-Fungicide-Trifloxystrobin/dp/B07JHQVG5M
40,Cabbage___Clubroot,Katyayani Bavistin Carbendazim 50% WP Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSY5bDKtjyvb2YALB0BY8v8cJjU7dZ69ClwqtDlJPl4yAWwN0H84bIB4qFyLFlx_L_4x2zUqH0JjQz8F4JEClBQ4QHkvxde9LqNFCJjscIM34ifGLcZWFWz&usqp=CAE,https://agribegri.com/products/buy-carbendazim-50-wp-online--bayer-bavistin-price.php
41,Cabbage___healthy,Ugaoo Organic Cabbage & Cauliflower Fertilizer,https://cdn.shopify.com/s/files/1/0722/2059/products/cabbage-cauliflower-plant-food-cabbage-fertilizer_1200x1200.jpg?v=1622103886,https://www.ugaoo.com/cabbage-cauliflower-plant-food.html
42,Cucumber___Anthracnose,Indofil M-45 Fungicide (Mancozeb 75% WP),https://m.media-amazon.com/images/I/41b+jL9GvGL._SL1000_.jpg,https://www.amazon.in/Indofil-45-Fungicide-Mancozeb-1kg/dp/B07K1B8Y1W
43,Cucumber___Downy_mildew,Indofil Z-78 Fungicide (Zineb 75% WP),https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT_VCvURTT05XfJ_hnkYHT8qq01lQ4N9J1dR5erpQr8nMHL41Kclg1VgArdDuh0gNRBQfCHotH5oIwnxKB3sz6PCex1a2p67uC08mJ6R6Ublk0IuSP71ZQgw&usqp=CAE,https://agribegri.com/products/indofil-z-78-fungicide--zineb-75-wp.php
44,Cucumber___healthy,Ugaoo Cucumber & Gourds Fertilizer,https://cdn.shopify.com/s/files/1/0722/2059/products/cucumber-gourds-plant-food-cucumber-fertilizer_1200x1200.jpg?v=1622103945,https://www.ugaoo.com/cucumber-gourds-plant-food.html
45,Eggplant___Verticillium_wilt,Bayer Raxil 2DS Fungicide (Tebuconazole 2% DS),https://m.media-amazon.com/images/I/51Gv2lMhSZL._SL1000_.jpg,https://www.amazon.in/Bayer-Raxil-2DS-Fungicide-Tebuconazole/dp/B07JHQM6R3
46,Eggplant___healthy,Ugaoo Brinjal Fertilizer,https://cdn.shopify.com/s/files/1/0722/2059/products/brinjal-plant-food-brinjal-fertilizer_1200x1200.jpg?v=1622103825,https://www.ugaoo.com/brinjal-plant-food.html
47,Lettuce___Bottom_rot,Katyayani Dithane M-45 Fungicide (Mancozeb 75% WP),https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRbA_TPyZkfNJDrY-pp7VKXrP7tn1OQz8HahDElvEa5AH7MrQbN3sNp5WNKY0m58KdQe9AOWX9JtwY0GcvzYVqvhBjK-JsfEUKZsqGIOtPSLQd7iWdy_YUgQ&usqp=CAE,https://agribegri.com/products/buy-dithane-m-45-fungicide-online-india--buy-fungicide-online-.php
48,Lettuce___healthy,Organic Lettuce & Spinach Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Lettuce_Fertilizer-1_869x869.jpg?v=1582700275,https://www.casagardenshop.com/products/organic-lettuce-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113131405371
49,Onion___Purple_blotch,Indofil Z-78 Fungicide (Zineb 75% WP),https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRJ8r1KxtY4gDK5pzrgO53eyO4AOPgOkQszSBy9J1Orj45e87IXjKEFv5zHmHjYyBouBBUAGiz4iujnVrU9x44YfxfGqB9pP2kCemIIpzVcqRwMqOZBY4P2NQ&usqp=CAE,https://agribegri.com/products/indofil-z-78-fungicide--zineb-75-wp.php
50,Onion___healthy,Onion & Garlic Growth Booster Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Onion_Garlic_Fertilizer-1_869x869.jpg?v=1582700339,https://www.casagardenshop.com/products/organic-onion-garlic-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113154768955
51,Spinach___White_rust,Katyayani Ridomil Gold Fungicide (Metalaxyl 4% + Mancozeb 64%),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRk2OXFw3iWWs1uy1UfSodH7RDH4wC8bfzBz6MZ7J7ocFhgb0mQxJx3gDx2WszkMaw4V0YKVkfqGFlBPp3QPl_2j_ov1uJjRlL4JbW6RSSWUaPZVYblzI4&usqp=CAE,https://agribegri.com/products/buy-ridomil-gold-fungicide-online.php
52,Spinach___healthy,Organic Spinach & Lettuce Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Spinach_Fertilizer-1_869x869.jpg?v=1582700400,https://www.casagardenshop.com/products/organic-spinach-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg-1?variant=32113162600539
53,Wheat___Leaf_rust,Bayer Folicur Fungicide (Tebuconazole 25.9% EC),https://m.media-amazon.com/images/I/51vWQvjG5tL._SL1000_.jpg,https://www.amazon.in/Bayer-Folicur-Fungicide-Tebuconazole-250ml/dp/B07JHQC6B4
54,Wheat___healthy,Wheat & Barley Growth Promoter,https://cdn.shopify.com/s/files/1/1489/8850/products/Wheat_Barley_Fertilizer-1_869x869.jpg?v=1582700465,https://www.casagardenshop.com/products/organic-wheat-barley-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113171873947
55,Rice___Blast,Bayer Nativo 75WG Fungicide (Trifloxystrobin 25% + Tebuconazole 50%),https://m.media-amazon.com/images/I/61s8VAPDpkL._SL1000_.jpg,https://www.amazon.in/Bayer-Nativo-75WG-Fungicide-Trifloxystrobin/dp/B07JHQVG5M
56,Rice___healthy,Rice & Paddy Growth Booster Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Rice_Paddy_Fertilizer-1_869x869.jpg?v=1582700523,https://www.casagardenshop.com/products/organic-rice-paddy-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113178067131
57,Bean___Anthracnose,Katyayani Bavistin Carbendazim 50% WP Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRkkldT3M71qIqHcsnKJzKBtK3Csf66BYtsWY5l73kU-7Q88SnS_F1jVqL9er18n9vT8XjB2hKq98T9j7uwxSOJzFpeVRNvG-YN8b-oR45hFQUUwxFjDw6n8o&usqp=CAE,https://agribegri.com/products/buy-carbendazim-50-wp-online--bayer-bavistin-price.php
58,Bean___healthy,Bean & Peas Organic Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Bean_Peas_Fertilizer-1_869x869.jpg?v=1582700583,https://www.casagardenshop.com/products/organic-bean-peas-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113186029755
59,Carrot___Alternaria_leaf_blight,Katyayani Indofil M-45 Fungicide (Mancozeb 75% WP),https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRgK5blEa_oTTETf1HRNc23dSe_JgbmNNGpC41PHpEIIYxwamfll9tH23on7TOTe9Pwbm9uHq0A5L4YhKN8RZgN1Q3vtxk6hIMOKFEnb7Zc60hqDl4XzTLU-kk&usqp=CAE,https://agribegri.com/products/buy-indofil-m-45-fungicide-online--dithane-m-45-price-in-india-.php
60,Carrot___healthy,Carrot & Radish Organic Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Carrot_Radish_Fertilizer-1_869x869.jpg?v=1582700641,https://www.casagardenshop.com/products/organic-carrot-radish-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113194844219
61,Cotton___Fusarium_wilt,Bayer Raxil 2DS Fungicide (Tebuconazole 2% DS),https://m.media-amazon.com/images/I/51Gv2lMhSZL._SL1000_.jpg,https://www.amazon.in/Bayer-Raxil-2DS-Fungicide-Tebuconazole/dp/B07JHQM6R3
62,Cotton___healthy,Cotton Growth Booster Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Cotton_Fertilizer-1_869x869.jpg?v=1582700701,https://www.casagardenshop.com/products/organic-cotton-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113201922107
63,Sunflower___Downy_mildew,Katyayani Ridomil Gold Fungicide (Metalaxyl 4% + Mancozeb 64%),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRLgAH54oYJq4-3L8kmewS9AdYlER_CjVvGGXaNfQ2n1s3t_5D9uIHFnj6L29C5jIGS7VqlgYt0uXaMB_OViTL3xtLk-GLwKv5S4PvW1lsD_S0zw-kf4hSpW4&usqp=CAE,https://agribegri.com/products/buy-ridomil-gold-fungicide-online.php
64,Sunflower___healthy,Sunflower Growth Booster Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Sunflower_Fertilizer-1_869x869.jpg?v=1582700764,https://www.casagardenshop.com/products/organic-sunflower-fertilizer-for-organic-gardening-by-casa-de-amor-1-kg?variant=32113210851403
65,Cabbage___Black_rot_alternative,Indofil M-45 Fungicide (Mancozeb 75% WP),https://m.media-amazon.com/images/I/41b+jL9GvGL._SL1000_.jpg,https://www.amazon.in/Indofil-45-Fungicide-Mancozeb-1kg/dp/B07K1B8Y1W
66,Cabbage___Clubroot_alternative,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSlfPxI5ez0fUqWe9Vch6c-0cM10tHD6BjEXIsV7rA8-ioPWJ5NcA7Gf4njkK8ugpZqI0HDp2pY2qOa40vTPT95OrHwNJgT-9GCOk71fXlLz0ZxXWXZx3qZTw&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
67,Cucumber___Anthracnose_alternative,Bayer Nativo 75WG Fungicide,https://m.media-amazon.com/images/I/61s8VAPDpkL._SL1000_.jpg,https://www.amazon.in/Bayer-Nativo-75WG-Fungicide-Trifloxystrobin/dp/B07JHQVG5M
